File Name	Genotype
A_Anser_anser_Belgium_14804_0002_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_Belgium_1809_0002_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_domesticus_Belgium_10918_0002_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_domesticus_Belgium_12994_0002_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_domesticus_Belgium_1668_0016_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_France_22P007390_2022.fa	Not assigned: Only 6 segments >98.0% match found of total 8 segments in input file
A_anser_anser_Spain_102-8_21VIR1230-4_2021.fa	Not assigned: Only 2 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_Spain_1035-5_22VIR6312-8_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_Spain_1124-65_22VIR6312-9_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_Spain_1277-10_22VIR6312-10_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_Spain_2010-3_22VIR6312-21_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_Spain_22VIR12774-41_3803-4_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_Spain_2636-3_22VIR8632-11_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_Spain_2753-3_22VIR8632-12_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_Spain_2825-1_22VIR8632-13_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_anser_anser_Spain_297-1_21VIR1230-5_2021.fa	Not assigned: Only 2 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_Spain_638-6_22VIR6312-39_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_Spain_750-4_22VIR6312-2_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anser_anser_Spain_810-6_22VIR8632-16_2022.fa	Not assigned: No Matching Genotypes
A_Anser_anser_Spain_863-2_22VIR6312-6_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anser_Brachyrhynchus_Anser_Anser_Belgium_13846_2020.fa	Not assigned: Only 2 segments >98.0% match found of total 8 segments in input file
A_Anser_brachyrhynchus_Belgium_13275_0009_2020.fa	Not assigned: Only 2 segments >98.0% match found of total 8 segments in input file
A_?Anser_brachyrhynchus_Belgium_14776_0001_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Anser_brachyrhynchus_Belgium_151_2020.fa	Not assigned: Only 2 segments >98.0% match found of total 8 segments in input file
A_Anser_cygnoides_China_P126_2015.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Anser_cygnoides_Hubei_FW44_2016.fa	Not assigned: Only 1 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_CN2_2009.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w113_2006.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w114_2006.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w120_2006.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w121_2006.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w125_2006.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w132_2006.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w161_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w16_2005.fa	Not assigned: Only 1 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w163_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w164_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w191_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w193_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w198_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w200_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w202_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w204_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w205_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w206_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w208_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w209_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w211_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w216_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w217_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w218_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w221_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w222_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w229_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w230_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w231_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w234_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w235_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w236_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w344_2008.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w347_2008.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w351_2008.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w54_2005.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w74_2005.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w79_2005.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w81_2005.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_Korea_w96_2005.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_South_Korea_120_2006.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_aquatic_bird_South_Korea_346_2009.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_1086_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic_fox_Finland_491-23_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_495_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_497_23VIR6803-5_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_501_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic_fox_Finland_503-23_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_504_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_504_23VIR6803-7_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_536_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic_fox_Finland_538-23_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_542_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_543_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_544_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_545_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic_fox_Finland_546-23_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_547_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic_fox_Finland_548-23_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_549_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic_fox_Finland_559-23_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_564_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_565_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_567_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_574_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_575_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_576_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_577_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_578_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_613_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_614_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_615_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_616_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_618_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_619_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_620_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_621_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_622_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_654_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_660_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_666_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_670_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_673_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_674_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_675_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_684_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_736_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_738_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_783_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_966_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_HVVI_491_23_23VIR6803-1_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_HVVI_492_23_23VIR6803-2_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic-fox_Finland_HVVI_503_23_23VIR6803-6_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_Arctic_tern_Alaska_22-020952-002_2022.fa	B3.2
A_Arctic_tern_Denmark_05803-1.01_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Arctic_Tern_England_402279_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_Arctic_Tern_Netherlands_1_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_arctic_tern_Scotland_092455_2023.fa	Not assigned: Only 3 segments >98.0% match found of total 8 segments in input file
A_Arctic_Tern_Wales_076069_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_Ardea_cinerea_Belgium_11304_0003_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Ardea_cinerea_Spain_863-1_22VIR6312-5_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Armenian_Gull_Republic_of_Georgia_4_2017.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_artic_fox_Finland_496-23_2023.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file
A_artic_tern_Germany-SH_AI03798_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_Astrakhan_3212_2020.fa	Not assigned: Only 2 segments >98.0% match found of total 8 segments in input file
A_australian_brushturkey_Czech_Republic_5904_2021.fa	Not assigned: Only 2 segments >98.0% match found of total 8 segments in input file
A_avian_Bangladesh_PV154_2016.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_Bangladesh_PV157_2016.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_France_170977_2017.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_France_171599_2017.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_France_171606_2017.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_Guanajuato_CENAPA-18539_2023.fa	B3.6
A_avian_Hong_Kong_0719_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_Hong_Kong_0828_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_Hong_Kong_1993_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_Hong_Kong_2372_2007.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Avian_Iran_38AMA_2019.fa	Not assigned: Only 1 segments >98.0% match found of total 8 segments in input file
A_avian_Italy_21VIR10913-3_2021.fa	Not assigned: No Matching Genotypes
A_avian_Italy_21VIR11236_2021.fa	Not assigned: No Matching Genotypes
A_avian_Italy_21VIR11301_2021.fa	Not assigned: No Matching Genotypes
A_avian_Italy_21VIR11773-4_2021.fa	Not assigned: No Matching Genotypes
A_avian_Italy_21VIR9425-2_2021.fa	Not assigned: No Matching Genotypes
A_avian_Japan_KU-100_2021.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_Japan_KU-105_2021.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_Japan_KU-106_2021.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_Japan_KU-107_2021.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_Japan_KU-108_2021.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_Japan_KU-50_2020.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_Peru_AISA0446_2022.fa	B3.2
A_avian_Peru_AISA0451_2022.fa	B3.2
A_avian_Russia_5354-vac_2005.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Avian_South_Korea_K58_2018.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_Veracruz_CENAPA-18079_2023.fa	B3.6
A_avian_Vietnam_NCVD-124_2008.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_Vietnam_NCVD-125_2008.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_Vietnam_NCVD-132_2008.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_avian_Vietnam_NCVD-133_2008.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Aythya_fuligula_Belgium_10064-0004_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_babbler_Fujian_320_04.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_backyard_chicken_Uruguay_UDELAR-040-M5_2023.fa	B3.2
A_backyard_chicken_Uruguay_UDELAR-040-M7_2023.fa	B3.2
A_backyard_chicken_Uruguay_UDELAR-047-M1_2023.fa	B3.2
A_backyard_chicken_Uruguay_UDELAR-047-M3_2023.fa	B3.2
A_backyard_chicken_Uruguay_UDELAR-124-M1_2023.fa	B3.2
A_backyard_chicken_Uruguay_UDELAR-127-M1_2023.fa	B3.2
A_backyard_chicken_Uruguay_UDELAR-127-M4_2023.fa	B3.2
A_backyard_chicken_Uruguay_UDELAR-144-M3_2023.fa	B3.2
A_backyard_duck_Uruguay_UDELAR-124-M3_2023.fa	B3.2
A_backyard_poultry_Korea_H0734_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_backyard_poultry_Korea_H0790_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_backyard_turkey_Uruguay_UDELAR-124-M6_2023.fa	B3.2
A_badger_Netherlands_22003078-004_2022.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_1437_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_1441_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_1445_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_1446_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_1447_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_1448_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_1449_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_1452_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_1454_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_1456_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_1457_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_1458_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_2399_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_2402_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_2403_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_2406_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_2414_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_2416_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_2417_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_Donglim3_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_H0203_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Baikal_teal_Korea_H41_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Baikal_teal_Korea_H52_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Baikal_teal_Korea_H62_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Baikal_teal_Korea_H66_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Baikal_teal_Korea_H68_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Baikal_teal_Korea_H80_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Baikal_teal_Korea_H84_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_Baikal_teal_Korea_H96_2014.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_Q34_2011.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
A_baikal_teal_Korea_Q524_2010.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file
